Protein	Start Site,,End Site,,Family,,Description
O08314	1,,365,,MF_00168,,Q_tRNA_Tgt,,Queuine tRNA-ribosyltransferase catalytic subunit 1 [QTRT1]
O08335	N/A,,N/A,,N/A,,N/A
O08357	1,,375,,MF_00220_A,,PyrC_classI,,Dihydroorotase [pyrC]
O08359	1,,197,,MF_01208,,PyrE,,Orotate phosphoribosyltransferase [pyrE]
O08394	N/A,,N/A,,N/A,,N/A
O24862	N/A,,N/A,,N/A,,N/A
O24870	N/A,,N/A,,N/A,,N/A
O24875	N/A,,N/A,,N/A,,N/A
O24895	N/A,,N/A,,N/A,,N/A
O24900	N/A,,N/A,,N/A,,N/A
O24904	N/A,,N/A,,N/A,,N/A
O24911	N/A,,N/A,,N/A,,N/A
O24916	N/A,,N/A,,N/A,,N/A
O24922	N/A,,N/A,,N/A,,N/A
O24934	N/A,,N/A,,N/A,,N/A
O24974	N/A,,N/A,,N/A,,N/A
O24978	N/A,,N/A,,N/A,,N/A
O25008	1,,387,,MF_00331,,Cys_desulf_IscS,,Cysteine desulfurase IscS [iscS]
O25029	N/A,,N/A,,N/A,,N/A
O25032	N/A,,N/A,,N/A,,N/A
O25047	N/A,,N/A,,N/A,,N/A
O25058	N/A,,N/A,,N/A,,N/A
O25066	N/A,,N/A,,N/A,,N/A
O25068	N/A,,N/A,,N/A,,N/A
O25121	2,,615,,MF_00315,,DXP_synth,,1-deoxy-D-xylulose-5-phosphate synthase [dxs]
O25125	N/A,,N/A,,N/A,,N/A
O25130	N/A,,N/A,,N/A,,N/A
O25164	N/A,,N/A,,N/A,,N/A
O25170	N/A,,N/A,,N/A,,N/A
O25176	N/A,,N/A,,N/A,,N/A
O25196	N/A,,N/A,,N/A,,N/A
O25214	N/A,,N/A,,N/A,,N/A
O25235	21,,351,,MF_00038,,MraY,,Phospho-N-acetylmuramoyl-pentapeptide-transferase [mraY]
O25247	N/A,,N/A,,N/A,,N/A
O25252	N/A,,N/A,,N/A,,N/A
O25273	N/A,,N/A,,N/A,,N/A
O25284	N/A,,N/A,,N/A,,N/A
O25298	N/A,,N/A,,N/A,,N/A
O25308	N/A,,N/A,,N/A,,N/A
O25330	N/A,,N/A,,N/A,,N/A
O25395	N/A,,N/A,,N/A,,N/A
O25396	N/A,,N/A,,N/A,,N/A
O25400	N/A,,N/A,,N/A,,N/A
O25402	N/A,,N/A,,N/A,,N/A
O25436	N/A,,N/A,,N/A,,N/A
O25461	N/A,,N/A,,N/A,,N/A
O25466	N/A,,N/A,,N/A,,N/A
O25500	N/A,,N/A,,N/A,,N/A
O25510	N/A,,N/A,,N/A,,N/A
O25526	N/A,,N/A,,N/A,,N/A
O25547	N/A,,N/A,,N/A,,N/A
O25553	N/A,,N/A,,N/A,,N/A
O25595	3,,377,,MF_01201,,Ala_racemase,,Alanine racemase
O25610	N/A,,N/A,,N/A,,N/A
O25616	N/A,,N/A,,N/A,,N/A
O25661	N/A,,N/A,,N/A,,N/A
O25664	34,,403,,MF_01520,,IspDF,,Bifunctional enzyme IspD/IspF [ispDF]
O25672	N/A,,N/A,,N/A,,N/A
O25695	N/A,,N/A,,N/A,,N/A
O25752	N/A,,N/A,,N/A,,N/A
O25806	13,,1374,,MF_01321,,RNApol_bact_RpoB,,DNA-directed RNA polymerase subunit beta [rpoB]
O25819	N/A,,N/A,,N/A,,N/A
O25852	N/A,,N/A,,N/A,,N/A
O25879	1,,416,,MF_01465,,SecY,,Protein translocase subunit SecY [secY]
O25953	N/A,,N/A,,N/A,,N/A
O26013	N/A,,N/A,,N/A,,N/A
O26019	N/A,,N/A,,N/A,,N/A
O26037	N/A,,N/A,,N/A,,N/A
O26046	N/A,,N/A,,N/A,,N/A
O26058	N/A,,N/A,,N/A,,N/A
O26090	N/A,,N/A,,N/A,,N/A
O26094	N/A,,N/A,,N/A,,N/A
O26098	N/A,,N/A,,N/A,,N/A
O26103	3,,307,,MF_02086,,PdxA_Epsilonprot,,4-hydroxythreonine-4-phosphate dehydrogenase [pdxA]
O28471	N/A,,N/A,,N/A,,N/A
O30245	N/A,,N/A,,N/A,,N/A
O30409	N/A,,N/A,,N/A,,N/A
O31149	N/A,,N/A,,N/A,,N/A
O31447	N/A,,N/A,,N/A,,N/A
O31458	1,,243,,MF_01241,,GlcN6P_deamin,,Glucosamine-6-phosphate deaminase [nagB]
O31462	N/A,,N/A,,N/A,,N/A
O31487	N/A,,N/A,,N/A,,N/A
O31489	N/A,,N/A,,N/A,,N/A
O31501	N/A,,N/A,,N/A,,N/A
O31509	1,,238,,MF_00918,,Transcrip_reg_TACO1_YeeN,,Probable transcriptional regulatory protein YeeN [yeeN]
O31540	N/A,,N/A,,N/A,,N/A
O31541	N/A,,N/A,,N/A,,N/A
O31544	N/A,,N/A,,N/A,,N/A
O31556	N/A,,N/A,,N/A,,N/A
O31567	N/A,,N/A,,N/A,,N/A
O31587	1,,89,,MF_00537,,Ribosomal_S14_1,,30S ribosomal protein S14 [rpsN]
O31592	N/A,,N/A,,N/A,,N/A
O31605	N/A,,N/A,,N/A,,N/A
O31609	N/A,,N/A,,N/A,,N/A
O31611	N/A,,N/A,,N/A,,N/A
O31612	1,,263,,MF_00361,,NAD_kinase,,NAD kinase [nadK]
O31618	3,,256,,MF_00443,,ThiG,,Thiazole synthase [thiG]
O31622	N/A,,N/A,,N/A,,N/A
O31629	1,,168,,MF_01444,,2H_phosphoesterase_YjcG,,Putative phosphoesterase 
O31644	N/A,,N/A,,N/A,,N/A
O31645	N/A,,N/A,,N/A,,N/A
O31646	N/A,,N/A,,N/A,,N/A
O31657	2,,298,,MF_00188,,Pept_M48_protease_HtpX,,Protease HtpX [htpX]
O31662	7,,347,,MF_01678,,Salvage_MtnA,,Methylthioribose-1-phosphate isomerase [MRI1]
O31663	1,,397,,MF_01683,,Salvage_MtnK,,Methylthioribose kinase [mtnK]
O31666	2,,400,,MF_01679,,Salvage_MtnW,,2,3-diketo-5-methylthiopentyl-1-phosphate enolase [mtnW]
O31669	1,,176,,MF_01682,,Salvage_MtnD,,Acireductone dioxygenase [mtnD]
O31672	N/A,,N/A,,N/A,,N/A
O31673	N/A,,N/A,,N/A,,N/A
O31684	N/A,,N/A,,N/A,,N/A
O31691	N/A,,N/A,,N/A,,N/A
O31716	N/A,,N/A,,N/A,,N/A
O31717	N/A,,N/A,,N/A,,N/A
O31741	1,,243,,MF_00605,,TrmD,,tRNA (guanine-N(1)-)-methyltransferase [trmD]
O31749	4,,238,,MF_01220_B,,PyrH,,Uridylate kinase [pyrH]
O31760	4,,555,,MF_01491,,RNase_J_bact,,Ribonuclease J [rnj]
O31761	N/A,,N/A,,N/A,,N/A
O31768	N/A,,N/A,,N/A,,N/A
O31771	N/A,,N/A,,N/A,,N/A
O31774	5,,520,,MF_00335,,RNase_Y,,Ribonuclease Y [rny]
O31777	N/A,,N/A,,N/A,,N/A
O31782	N/A,,N/A,,N/A,,N/A
O31856	N/A,,N/A,,N/A,,N/A
O31875	N/A,,N/A,,N/A,,N/A
O31892	N/A,,N/A,,N/A,,N/A
O31903	N/A,,N/A,,N/A,,N/A
O31912	N/A,,N/A,,N/A,,N/A
O31962	N/A,,N/A,,N/A,,N/A
O31989	N/A,,N/A,,N/A,,N/A
O31993	N/A,,N/A,,N/A,,N/A
O32022	N/A,,N/A,,N/A,,N/A
O32033	2,,206,,MF_00551,,Uridine_kinase,,Uridine kinase [udk]
O32038	3,,587,,MF_00044,,Asp_tRNA_synth_type1,,Aspartate--tRNA(Asp/Asn) ligase [aspS]
O32039	1,,420,,MF_00127,,His_tRNA_synth,,Histidine--tRNA ligase [hisS]
O32049	N/A,,N/A,,N/A,,N/A
O32052	N/A,,N/A,,N/A,,N/A
O32053	6,,370,,MF_00168,,Q_tRNA_Tgt,,Queuine tRNA-ribosyltransferase catalytic subunit 1 [QTRT1]
O32076	N/A,,N/A,,N/A,,N/A
O32082	N/A,,N/A,,N/A,,N/A
O32104	N/A,,N/A,,N/A,,N/A
O32113	N/A,,N/A,,N/A,,N/A
O32119	N/A,,N/A,,N/A,,N/A
O32129	1,,295,,MF_00206,,Lipoyl_synth,,Lipoyl synthase, organellar chromatophore [LIAS]
O32132	N/A,,N/A,,N/A,,N/A
O32144	N/A,,N/A,,N/A,,N/A
O32151	N/A,,N/A,,N/A,,N/A
O32157	N/A,,N/A,,N/A,,N/A
O32162	N/A,,N/A,,N/A,,N/A
O32163	N/A,,N/A,,N/A,,N/A
O32164	N/A,,N/A,,N/A,,N/A
O32165	N/A,,N/A,,N/A,,N/A
O32169	N/A,,N/A,,N/A,,N/A
O32173	N/A,,N/A,,N/A,,N/A
O32175	N/A,,N/A,,N/A,,N/A
O32178	N/A,,N/A,,N/A,,N/A
O32213	8,,571,,MF_01540,,CysI,,Sulfite reductase [NADPH] hemoprotein beta-component [cysI]
O32222	N/A,,N/A,,N/A,,N/A
O32224	2,,211,,MF_01216,,Azoreductase_type1,,FMN-dependent NADH-azoreductase [azoR]
O32231	25,,708,,MF_01895,,RNase_R,,Ribonuclease R [rnr]
O32259	5,,237,,MF_02104,,LutC,,Lactate utilization protein C [lutC]
O32264	N/A,,N/A,,N/A,,N/A
O32294	N/A,,N/A,,N/A,,N/A
O32504	N/A,,N/A,,N/A,,N/A
O32712	1,,99,,MF_00710,,Malonate_deCO2ase_dsu,,Malonate decarboxylase acyl carrier protein [mdcC]
O32723	N/A,,N/A,,N/A,,N/A
O33198	N/A,,N/A,,N/A,,N/A
O33206	N/A,,N/A,,N/A,,N/A
O33237	N/A,,N/A,,N/A,,N/A
O33263	N/A,,N/A,,N/A,,N/A
O33289	N/A,,N/A,,N/A,,N/A
O33298	N/A,,N/A,,N/A,,N/A
O33329	N/A,,N/A,,N/A,,N/A
O33332	N/A,,N/A,,N/A,,N/A
O33361	N/A,,N/A,,N/A,,N/A
O33600	1,,881,,MF_00449,,RAD50,,DNA double-strand break repair Rad50 ATPase [rad50]
O33618	N/A,,N/A,,N/A,,N/A
O33749	N/A,,N/A,,N/A,,N/A
O33768	1,,944,,MF_00049_A,,Leu_tRNA_synth,,Leucine--tRNA ligase [leuS]
O33770	29,,370,,MF_01023,,HisC_aminotrans_2,,Histidinol-phosphate aminotransferase [hisC]
O33775	4,,397,,MF_01024,,HisD,,Histidinol dehydrogenase [hisD]
O33780	3,,443,,MF_00176,,Ser_tRNA_synth_type1,,Serine--tRNA ligase [serS]
O34094	N/A,,N/A,,N/A,,N/A
O34153	4,,498,,MF_00186,,Glycerol_kin,,Glycerol kinase [glpK]
O34154	4,,497,,MF_00186,,Glycerol_kin,,Glycerol kinase [glpK]
O34206	N/A,,N/A,,N/A,,N/A
O34303	N/A,,N/A,,N/A,,N/A
O34324	N/A,,N/A,,N/A,,N/A
O34325	N/A,,N/A,,N/A,,N/A
O34328	3,,187,,MF_00328,,Guanylate_kinase,,Guanylate kinase [gmk]
O34334	N/A,,N/A,,N/A,,N/A
O34338	N/A,,N/A,,N/A,,N/A
O34347	4,,397,,MF_00005,,Arg_succ_synth_type1,,Argininosuccinate synthase [argG]
O34384	N/A,,N/A,,N/A,,N/A
O34410	N/A,,N/A,,N/A,,N/A
O34425	N/A,,N/A,,N/A,,N/A
O34443	3,,170,,MF_00004,,Aden_phosphoribosyltr,,Adenine phosphoribosyltransferase [apt]
O34445	N/A,,N/A,,N/A,,N/A
O34447	N/A,,N/A,,N/A,,N/A
O34486	N/A,,N/A,,N/A,,N/A
O34499	N/A,,N/A,,N/A,,N/A
O34507	N/A,,N/A,,N/A,,N/A
O34512	N/A,,N/A,,N/A,,N/A
O34513	2,,405,,MF_01539,,TmcAL,,tRNA(Met) cytidine acetate ligase [tmcAL]
O34529	1,,318,,MF_00339,,Phosphofructokinase_I_B1,,ATP-dependent 6-phosphofructokinase [pfkA]
O34530	2,,295,,MF_01820,,GTPase_RsgA,,Small ribosomal subunit biogenesis GTPase RsgA [rsgA]
O34536	N/A,,N/A,,N/A,,N/A
O34542	N/A,,N/A,,N/A,,N/A
O34549	N/A,,N/A,,N/A,,N/A
O34588	N/A,,N/A,,N/A,,N/A
O34591	N/A,,N/A,,N/A,,N/A
O34618	N/A,,N/A,,N/A,,N/A
O34633	N/A,,N/A,,N/A,,N/A
O34647	N/A,,N/A,,N/A,,N/A
O34660	N/A,,N/A,,N/A,,N/A
O34687	1,,55,,MF_00340,,Ribosomal_L32,,50S ribosomal protein L32 [rpmF]
O34709	N/A,,N/A,,N/A,,N/A
O34714	N/A,,N/A,,N/A,,N/A
O34722	N/A,,N/A,,N/A,,N/A
O34751	N/A,,N/A,,N/A,,N/A
O34759	N/A,,N/A,,N/A,,N/A
O34760	N/A,,N/A,,N/A,,N/A
O34764	20,,375,,MF_00066,,Sulf_adenylyltr,,Sulfate adenylyltransferase [sat]
O34788	N/A,,N/A,,N/A,,N/A
O34795	N/A,,N/A,,N/A,,N/A
O34810	N/A,,N/A,,N/A,,N/A
O34812	N/A,,N/A,,N/A,,N/A
O34824	1,,444,,MF_01554_B,,GlmM,,Phosphoglucosamine mutase [glmM]
O34832	N/A,,N/A,,N/A,,N/A
O34833	N/A,,N/A,,N/A,,N/A
O34859	18,,272,,MF_01875,,Prokaryotic_Ku,,Non-homologous end joining protein Ku [ku]
O34860	N/A,,N/A,,N/A,,N/A
O34863	3,,938,,MF_00205,,UvrA,,UvrABC system protein A [uvrA]
O34872	N/A,,N/A,,N/A,,N/A
O34904	N/A,,N/A,,N/A,,N/A
O34909	N/A,,N/A,,N/A,,N/A
O34924	N/A,,N/A,,N/A,,N/A
O34948	N/A,,N/A,,N/A,,N/A
O34949	N/A,,N/A,,N/A,,N/A
O34962	N/A,,N/A,,N/A,,N/A
O34967	1,,81,,MF_00502,,Ribosomal_L31_2,,50S ribosomal protein L31 type B [rpmE2]
O34968	N/A,,N/A,,N/A,,N/A
O34979	N/A,,N/A,,N/A,,N/A
O34981	1,,235,,MF_01691,,DapH,,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase [dapH]
O35004	N/A,,N/A,,N/A,,N/A
O35019	4,,71,,MF_00829,,UPF0435,,UPF0435 protein 
O35033	N/A,,N/A,,N/A,,N/A
O50147	1,,269,,MF_02082,,LysZ,,[LysW]-aminoadipate/[LysW]-glutamate kinase [lysZ]
O50397	N/A,,N/A,,N/A,,N/A
O50416	N/A,,N/A,,N/A,,N/A
O50431	N/A,,N/A,,N/A,,N/A
O50432	N/A,,N/A,,N/A,,N/A
O50464	N/A,,N/A,,N/A,,N/A
O50508	N/A,,N/A,,N/A,,N/A
O50515	N/A,,N/A,,N/A,,N/A
O52631	N/A,,N/A,,N/A,,N/A
O52632	7,,396,,MF_00145,,Phosphoglyc_kinase,,Phosphoglycerate kinase [pgk]
O52982	N/A,,N/A,,N/A,,N/A
O53083	2,,114,,MF_00402,,Ribosomal_L19,,50S ribosomal protein L19 [rplS]
O53148	N/A,,N/A,,N/A,,N/A
O53154	N/A,,N/A,,N/A,,N/A
O53165	N/A,,N/A,,N/A,,N/A
O53181	N/A,,N/A,,N/A,,N/A
O53203	N/A,,N/A,,N/A,,N/A
O53213	N/A,,N/A,,N/A,,N/A
O53298	N/A,,N/A,,N/A,,N/A
O53310	N/A,,N/A,,N/A,,N/A
O53321	N/A,,N/A,,N/A,,N/A
O53329	N/A,,N/A,,N/A,,N/A
O53343	N/A,,N/A,,N/A,,N/A
O53346	N/A,,N/A,,N/A,,N/A
O53353	1,,89,,MF_01479,,WhiB,,Transcriptional regulator WhiB [whiB]
O53360	N/A,,N/A,,N/A,,N/A
O53362	N/A,,N/A,,N/A,,N/A
O53399	N/A,,N/A,,N/A,,N/A
O53406	N/A,,N/A,,N/A,,N/A
O53417	N/A,,N/A,,N/A,,N/A
O53469	N/A,,N/A,,N/A,,N/A
O53493	21,,516,,MF_01148,,Lnt,,Apolipoprotein N-acyltransferase [lnt]
O53509	N/A,,N/A,,N/A,,N/A
O53512	N/A,,N/A,,N/A,,N/A
O53521	N/A,,N/A,,N/A,,N/A
O53531	N/A,,N/A,,N/A,,N/A
O53532	N/A,,N/A,,N/A,,N/A
O53547	N/A,,N/A,,N/A,,N/A
O53564	N/A,,N/A,,N/A,,N/A
O53578	N/A,,N/A,,N/A,,N/A
O53579	N/A,,N/A,,N/A,,N/A
O53580	N/A,,N/A,,N/A,,N/A
O53598	N/A,,N/A,,N/A,,N/A
O53611	N/A,,N/A,,N/A,,N/A
O53622	N/A,,N/A,,N/A,,N/A
O53641	N/A,,N/A,,N/A,,N/A
O53672	N/A,,N/A,,N/A,,N/A
O53673	N/A,,N/A,,N/A,,N/A
O53718	N/A,,N/A,,N/A,,N/A
O53777	N/A,,N/A,,N/A,,N/A
O53789	N/A,,N/A,,N/A,,N/A
O53834	N/A,,N/A,,N/A,,N/A
O53842	N/A,,N/A,,N/A,,N/A
O53857	N/A,,N/A,,N/A,,N/A
O53858	N/A,,N/A,,N/A,,N/A
O53900	N/A,,N/A,,N/A,,N/A
O53901	N/A,,N/A,,N/A,,N/A
O53977	N/A,,N/A,,N/A,,N/A
O54130	N/A,,N/A,,N/A,,N/A
O58655	3,,263,,MF_00231,,eIF_2_alpha,,Translation initiation factor 2 subunit alpha [eif2a]
O65934	N/A,,N/A,,N/A,,N/A
O68970	N/A,,N/A,,N/A,,N/A
O68973	N/A,,N/A,,N/A,,N/A
O69250	N/A,,N/A,,N/A,,N/A
O69289	1,,544,,MF_00600,,CH60,,60 kDa chaperonin [groL]
O69637	N/A,,N/A,,N/A,,N/A
O69654	N/A,,N/A,,N/A,,N/A
O69659	N/A,,N/A,,N/A,,N/A
O69670	1,,226,,MF_02036,,EgtC,,Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase [egtC]
O69684	N/A,,N/A,,N/A,,N/A
O69690	N/A,,N/A,,N/A,,N/A
O69695	N/A,,N/A,,N/A,,N/A
O69722	N/A,,N/A,,N/A,,N/A
O69850	N/A,,N/A,,N/A,,N/A
O69879	2,,77,,MF_00385,,Ribosomal_S16,,30S ribosomal protein S16 [rpsP]
O69896	N/A,,N/A,,N/A,,N/A
O86312	N/A,,N/A,,N/A,,N/A
O86320	N/A,,N/A,,N/A,,N/A
O86340	N/A,,N/A,,N/A,,N/A
O86351	N/A,,N/A,,N/A,,N/A
O86365	N/A,,N/A,,N/A,,N/A
O86517	N/A,,N/A,,N/A,,N/A
O86525	N/A,,N/A,,N/A,,N/A
O86560	N/A,,N/A,,N/A,,N/A
O86575	N/A,,N/A,,N/A,,N/A
O86637	N/A,,N/A,,N/A,,N/A
O86716	N/A,,N/A,,N/A,,N/A
O86757	N/A,,N/A,,N/A,,N/A
O86775	5,,116,,MF_01368,,Ribosomal_L17,,50S ribosomal protein L17 [rplQ]
O87527	N/A,,N/A,,N/A,,N/A
O88017	106,,591,,MF_00966,,G6PD,,Glucose-6-phosphate 1-dehydrogenase [zwf]
O88038	N/A,,N/A,,N/A,,N/A
O88060	1,,170,,MF_00080,,IF_3,,Translation initiation factor IF-3 [infC]
O93774	N/A,,N/A,,N/A,,N/A
P00350	N/A,,N/A,,N/A,,N/A
P00363	N/A,,N/A,,N/A,,N/A
P00370	N/A,,N/A,,N/A,,N/A
P00448	N/A,,N/A,,N/A,,N/A
P00509	N/A,,N/A,,N/A,,N/A
P00550	N/A,,N/A,,N/A,,N/A
P00562	N/A,,N/A,,N/A,,N/A
P00579	4,,612,,MF_00963,,Sigma70_RpoD_SigA,,RNA polymerase sigma factor RpoD [rpoD]
P00582	N/A,,N/A,,N/A,,N/A
P00634	N/A,,N/A,,N/A,,N/A
P00811	N/A,,N/A,,N/A,,N/A
P00864	1,,883,,MF_00595,,PEPcase_type1,,Phosphoenolpyruvate carboxylase [ppc]
P00909	256,,453,,MF_00135,,PRAI,,N-(5'-phosphoribosyl)anthranilate isomerase [trpF]
P00936	N/A,,N/A,,N/A,,N/A
P00946	N/A,,N/A,,N/A,,N/A
P00954	3,,331,,MF_00140_B,,Trp_tRNA_synth,,Tryptophan--tRNA ligase [trpS]
P00956	2,,929,,MF_02002,,Ile_tRNA_synth_type1,,Isoleucine--tRNA ligase [ileS]
P00959	6,,546,,MF_00098,,Met_tRNA_synth_type1,,Methionine--tRNA ligase [metG]
P00961	3,,688,,MF_00255,,Gly_tRNA_synth_beta,,Glycine--tRNA ligase beta subunit [glyS]
P00968	1,,1063,,MF_01210_B,,CPSase_L_chain,,Carbamoyl-phosphate synthase large chain [carB]
P02344	N/A,,N/A,,N/A,,N/A
P02359	1,,156,,MF_00480_B,,Ribosomal_S7,,30S ribosomal protein S7 [rpsG]
P02394	2,,123,,MF_00368,,Ribosomal_L7_L12,,50S ribosomal protein L7/L12 [rplL]
P02903	1,,97,,MF_00805,,CitD,,Citrate lyase acyl carrier protein [citD]
P02925	N/A,,N/A,,N/A,,N/A
P02931	N/A,,N/A,,N/A,,N/A
P02968	N/A,,N/A,,N/A,,N/A
P02974	N/A,,N/A,,N/A,,N/A
P03018	N/A,,N/A,,N/A,,N/A
P03030	N/A,,N/A,,N/A,,N/A
P03943	N/A,,N/A,,N/A,,N/A
P03944	N/A,,N/A,,N/A,,N/A
P04036	6,,269,,MF_00102,,DapB,,4-hydroxy-tetrahydrodipicolinate reductase [dapB]
P04042	4,,342,,MF_00099,,CheB_chemtxs,,Protein-glutamate methylesterase/protein-glutamine glutaminase [cheB]
P04079	7,,525,,MF_00344,,GMP_synthase,,GMP synthase [glutamine-hydrolyzing] [guaA]
P04805	2,,461,,MF_00022,,Glu_tRNA_synth_type1,,Glutamate--tRNA ligase [gltX]
P04831	N/A,,N/A,,N/A,,N/A
P04832	N/A,,N/A,,N/A,,N/A
P04951	1,,248,,MF_00057,,KdsB,,8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase [kdsB]
P04969	5,,131,,MF_01310,,Ribosomal_S11,,30S ribosomal protein S11 [rpsK]
P04990	N/A,,N/A,,N/A,,N/A
P05052	N/A,,N/A,,N/A,,N/A
P05055	3,,693,,MF_01595,,PNPase,,Polyribonucleotide nucleotidyltransferase [pnp]
P05429	1,,507,,MF_01495,,PSII_PsbB_CP47,,Photosystem II CP47 reaction center protein [psbB]
P05431	N/A,,N/A,,N/A,,N/A
P05459	1,,357,,MF_01825,,PdxB,,Erythronate-4-phosphate dehydrogenase [pdxB]
P05645	3,,356,,MF_01033,,LeuB_type1,,3-isopropylmalate dehydrogenase [leuB]
P05651	1,,370,,MF_00365,,RecF,,DNA replication and repair protein RecF [recF]
P05652	5,,638,,MF_01898,,GyrB,,DNA gyrase subunit B [gyrB]
P05653	3,,808,,MF_01897,,GyrA,,DNA gyrase subunit A [gyrA]
P05654	1,,291,,MF_00001,,Asp_carb_tr,,Aspartate carbamoyltransferase [pyrB]
P05793	22,,485,,MF_00435,,IlvC,,Ketol-acid reductoisomerase (NADP(+)) [ilvC]
P06224	7,,371,,MF_00963,,Sigma70_RpoD_SigA,,RNA polymerase sigma factor RpoD [rpoD]
P06533	N/A,,N/A,,N/A,,N/A
P06534	N/A,,N/A,,N/A,,N/A
P06535	N/A,,N/A,,N/A,,N/A
P06612	3,,732,,MF_00952,,Topoisom_1_prok,,DNA topoisomerase 1 [topA]
P06616	6,,297,,MF_00367,,GTPase_Era,,GTPase Era [era]
P06628	N/A,,N/A,,N/A,,N/A
P06959	N/A,,N/A,,N/A,,N/A
P06999	N/A,,N/A,,N/A,,N/A
P07003	N/A,,N/A,,N/A,,N/A
P07012	3,,365,,MF_00094,,Rel_fac_2,,Peptide chain release factor 2 [prfB]
P07343	3,,460,,MF_00743,,FumaraseC,,Fumarate hydratase class II [fumC]
P07363	N/A,,N/A,,N/A,,N/A
P07515	N/A,,N/A,,N/A,,N/A
P07639	1,,356,,MF_00110,,DHQ_synthase,,3-dehydroquinate synthase [aroB]
P07650	2,,438,,MF_01628,,Thymid_phosp,,Thymidine phosphorylase [deoA]
P07784	N/A,,N/A,,N/A,,N/A
P07789	N/A,,N/A,,N/A,,N/A
P08065	N/A,,N/A,,N/A,,N/A
P08066	N/A,,N/A,,N/A,,N/A
P08164	N/A,,N/A,,N/A,,N/A
P08178	7,,344,,MF_00741,,AIRS,,Phosphoribosylformylglycinamidine cyclo-ligase [purM]
P08192	N/A,,N/A,,N/A,,N/A
P08200	N/A,,N/A,,N/A,,N/A
P08312	8,,326,,MF_00281,,Phe_tRNA_synth_alpha1,,Phenylalanine--tRNA ligase alpha subunit [pheS]
P08400	N/A,,N/A,,N/A,,N/A
P08506	N/A,,N/A,,N/A,,N/A
P08821	N/A,,N/A,,N/A,,N/A
P08838	N/A,,N/A,,N/A,,N/A
P08839	N/A,,N/A,,N/A,,N/A
P08874	N/A,,N/A,,N/A,,N/A
P08877	N/A,,N/A,,N/A,,N/A
P08997	N/A,,N/A,,N/A,,N/A
P09030	N/A,,N/A,,N/A,,N/A
P09120	N/A,,N/A,,N/A,,N/A
P09124	N/A,,N/A,,N/A,,N/A
P09152	N/A,,N/A,,N/A,,N/A
P09169	N/A,,N/A,,N/A,,N/A
P09190	1,,81,,MF_00642,,PSII_PsbE,,Cytochrome b559 subunit alpha [psbE]
P09193	3,,460,,MF_01496,,PSII_PsbC_CP43,,Photosystem II CP43 reaction center protein [psbC]
P09323	N/A,,N/A,,N/A,,N/A
P09339	N/A,,N/A,,N/A,,N/A
P09373	N/A,,N/A,,N/A,,N/A
P09384	N/A,,N/A,,N/A,,N/A
P09546	N/A,,N/A,,N/A,,N/A
P09819	N/A,,N/A,,N/A,,N/A
P09835	N/A,,N/A,,N/A,,N/A
P09924	3,,216,,MF_00114,,DeoC_type1,,Deoxyribose-phosphate aldolase [deoC]
P0A0D6	N/A,,N/A,,N/A,,N/A
P0A0E0	N/A,,N/A,,N/A,,N/A
P0A0E3	N/A,,N/A,,N/A,,N/A
P0A0Q7	N/A,,N/A,,N/A,,N/A
P0A252	N/A,,N/A,,N/A,,N/A
P0A2D5	N/A,,N/A,,N/A,,N/A
P0A2D9	N/A,,N/A,,N/A,,N/A
P0A2W5	N/A,,N/A,,N/A,,N/A
P0A2Z0	9,,148,,MF_01398,,ATP_synth_b_bprime,,ATP synthase subunit b [atpF]
P0A345	9,,101,,MF_00580,,CH10,,10 kDa chaperonin [groS]
P0A3B4	N/A,,N/A,,N/A,,N/A
P0A3E6	N/A,,N/A,,N/A,,N/A
P0A3F4	N/A,,N/A,,N/A,,N/A
P0A3H5	N/A,,N/A,,N/A,,N/A
P0A435	N/A,,N/A,,N/A,,N/A
P0A438	N/A,,N/A,,N/A,,N/A
P0A439	N/A,,N/A,,N/A,,N/A
P0A485	1,,81,,MF_00502,,Ribosomal_L31_2,,50S ribosomal protein L31 type B [rpmE2]
P0A491	1,,64,,MF_00514,,Ribosomal_L35,,50S ribosomal protein L35 [rpmI]
P0A4D1	1,,94,,MF_00360,,Ribosomal_S6,,30S ribosomal protein S6 [rpsF]
P0A4D2	1,,94,,MF_00360,,Ribosomal_S6,,30S ribosomal protein S6 [rpsF]
P0A4P8	N/A,,N/A,,N/A,,N/A
P0A4Q8	1,,105,,MF_00338,,UPF0145,,UPF0145 protein YbjQ [ybjQ]
P0A4S0	1,,394,,MF_00106,,UxuA,,Mannonate dehydratase [uxuA]
P0A5B8	N/A,,N/A,,N/A,,N/A
P0A5C0	1,,620,,MF_00332,,DnaK,,Chaperone protein DnaK [dnaK]
P0A5S5	N/A,,N/A,,N/A,,N/A
P0A6A3	1,,400,,MF_00020,,Acetate_kinase,,Probable acetate kinase
P0A6A5	1,,400,,MF_00020,,Acetate_kinase,,Probable acetate kinase
P0A6A8	3,,77,,MF_01217,,Acyl_carrier,,Acyl carrier protein [acpP]
P0A6B0	3,,77,,MF_01217,,Acyl_carrier,,Acyl carrier protein [acpP]
